num,G.num,Food.Wastes,Food.Wastes.Clean,Group,pH,TS.Perc,VS.Perc,TOC,TKN,Fat.Perc,Protein.Perc,Carbohydrate.Perc,TP,TK,C.N.Mixture,BMP
738,FOG.9+RERW.79,FOG_from_food_processing_AND_Piece_of_pizza,FOG_from_food_processing_AND_Piece_of_pizza,FOG+RERW,0,0,0,0,0,0.532,0.1245,0.3435,0,0,0,0
739,FOG.9+RERW.80,FOG_from_food_processing_AND_French_fries,FOG_from_food_processing_AND_French_fries,FOG+RERW,0,0,0,0,0,0.647,0.028,0.325,0,0,0,0
740,FOG.9+RERW.81,FOG_from_food_processing_AND_Gravy_tomato_sauce,FOG_from_food_processing_AND_Gravy_tomato_sauce,FOG+RERW,0,0,0,0,0,0.5023,0.0283,0.4694,0,0,0,0
741,FOG.9+OT.82,FOG_from_food_processing_AND_Plain_pasta,FOG_from_food_processing_AND_Plain_pasta,FOG+OT,0,0,0,0,0,0.529,0.071,0.4,0,0,0,0
742,FOG.9+OT.83,FOG_from_food_processing_AND_Meat_pasta,FOG_from_food_processing_AND_Meat_pasta,FOG+OT,0,0,0,0,0,0.569,0.0975,0.3335,0,0,0,0
743,FOG.9+OT.84,FOG_from_food_processing_AND_Rice,FOG_from_food_processing_AND_Rice,FOG+OT,0,0,0,0,0,0.504,0.041,0.455,0,0,0,0
744,FOG.9+OT.85,FOG_from_food_processing_AND_Cafeteria_wastes_CW,FOG_from_food_processing_AND_Cafeteria_wastes_CW,FOG+OT,0,0,0,0,0,0.519,0.086,0.395,0,0,0,0
745,FOG.9+OT.86,FOG_from_food_processing_AND_Tea,FOG_from_food_processing_AND_Tea,FOG+OT,0,0,0,0,0,0.49905,0.118,0.38295,0,0,0,0
746,FOG.9+OT.87,FOG_from_food_processing_AND_Spent_coffee_grounds,FOG_from_food_processing_AND_Spent_coffee_grounds,FOG+OT,0,0,0,0,0,0.7996,0.2004,0.0,0,0,0,0
747,FOG.9+OT.88,FOG_from_food_processing_AND_Chocolate,FOG_from_food_processing_AND_Chocolate,FOG+OT,0,0,0,0,0,0.667,0.04345,0.28955,0,0,0,0
748,FOG.10+FOG.11,FOG_from_restaurant_AND_Suspended_FOG,FOG_from_restaurant_AND_Suspended_FOG,FOG+FOG,0,0,0,0,0,0.9995,0.0005,0.0,0,0,0,0
749,FOG.10+FOG.12,FOG_from_restaurant_AND_Settled_FOG,FOG_from_restaurant_AND_Settled_FOG,FOG+FOG,0,0,0,0,0,0.9995,0.0005,0.0,0,0,0,0
750,FOG.10+IC.13,FOG_from_restaurant_AND_Ice_cream_IC,FOG_from_restaurant_AND_Ice_cream_IC,FOG+IC,0,0,0,0,0,0.6925,0.042,0.2655,0,0,0,0
751,FOG.10+FAV.14,FOG_from_restaurant_AND_Mixed_vegetable_wastes,FOG_from_restaurant_AND_Mixed_vegetable_wastes,FOG+FAV,0,0,0,0,0,0.50385,0.077,0.41915,0,0,0,0
752,FOG.10+FAV.15,FOG_from_restaurant_AND_Mix_fruit_waste,FOG_from_restaurant_AND_Mix_fruit_waste,FOG+FAV,0,0,0,0,0,0.50055,0.016,0.48345,0,0,0,0
753,FOG.10+FAV.16,FOG_from_restaurant_AND_Mixed_fruit_vegetables_MFV,FOG_from_restaurant_AND_Mixed_fruit_vegetables_MFV,FOG+FAV,0,0,0,0,0,0.50105,0.05425,0.44625,0,0,0,0
754,FOG.10+FAV.17,FOG_from_restaurant_AND_Assorted_fruit_rinds,FOG_from_restaurant_AND_Assorted_fruit_rinds,FOG+FAV,0,0,0,0,0,0.5007,0.0148,0.4845,0,0,0,0
755,FOG.10+FAV.18,FOG_from_restaurant_AND_Apple_skin__flesh,FOG_from_restaurant_AND_Apple_skin__flesh,FOG+FAV,0,0,0,0,0,0.5075,0.036,0.4565,0,0,0,0
756,FOG.10+FAV.19,FOG_from_restaurant_AND_Orange_skin__flesh,FOG_from_restaurant_AND_Orange_skin__flesh,FOG+FAV,0,0,0,0,0,0.507,0.2045,0.2885,0,0,0,0
757,FOG.10+FAV.20,FOG_from_restaurant_AND_Banana_skin__flesh,FOG_from_restaurant_AND_Banana_skin__flesh,FOG+FAV,0,0,0,0,0,0.508,0.1175,0.375,0,0,0,0
758,FOG.10+FAV.21,FOG_from_restaurant_AND_Grapes,FOG_from_restaurant_AND_Grapes,FOG+FAV,0,0,0,0,0,0.50055,0.02795,0.4715,0,0,0,0
759,FOG.10+FAV.22,FOG_from_restaurant_AND_Lettuce_and_rotting_lettuce,FOG_from_restaurant_AND_Lettuce_and_rotting_lettuce,FOG+FAV,0,0,0,0,0,0.545,0.205,0.25,0,0,0,0
760,FOG.10+FAV.23,FOG_from_restaurant_AND_Potatoes,FOG_from_restaurant_AND_Potatoes,FOG+FAV,0,0,0,0,0,0.5035,0.053,0.3895,0,0,0,0
761,FOG.10+FAV.24,FOG_from_restaurant_AND_Tomatoes,FOG_from_restaurant_AND_Tomatoes,FOG+FAV,0,0,0,0,0,0.5235,0.1435,0.3335,0,0,0,0
762,FOG.10+FAV.25,FOG_from_restaurant_AND_Cabbage,FOG_from_restaurant_AND_Cabbage,FOG+FAV,0,0,0,0,0,0.5065,0.0895,0.404,0,0,0,0
763,FOG.10+FAV.26,FOG_from_restaurant_AND_Onion_spring_onion,FOG_from_restaurant_AND_Onion_spring_onion,FOG+FAV,0,0,0,0,0,0.505,0.1685,0.3265,0,0,0,0
764,FOG.10+FAV.27,FOG_from_restaurant_AND_Pepper,FOG_from_restaurant_AND_Pepper,FOG+FAV,0,0,0,0,0,0.5275,0.084,0.389,0,0,0,0
765,FOG.10+FAV.28,FOG_from_restaurant_AND_Spinach,FOG_from_restaurant_AND_Spinach,FOG+FAV,0,0,0,0,0,0.544,0.2165,0.2395,0,0,0,0
766,FOG.10+FAV.29,FOG_from_restaurant_AND_Sweetcorn,FOG_from_restaurant_AND_Sweetcorn,FOG+FAV,0,0,0,0,0,0.537,0.069,0.3935,0,0,0,0
767,FOG.10+CCG.30,FOG_from_restaurant_AND_Confectionary_CCG,FOG_from_restaurant_AND_Confectionary_CCG,FOG+CCG,0,0,0,0,0,0.51345,0.1224,0.36415,0,0,0,0
768,FOG.10+FAV.31,FOG_from_restaurant_AND_Crushed_and_diced_tomatoes,FOG_from_restaurant_AND_Crushed_and_diced_tomatoes,FOG+FAV,0,0,0,0,0,0.523,0.1285,0.349,0,0,0,0
769,FOG.10+FAV.32,FOG_from_restaurant_AND_Green_beans,FOG_from_restaurant_AND_Green_beans,FOG+FAV,0,0,0,0,0,0.513,0.162,0.325,0,0,0,0
770,FOG.10+FAV.33,FOG_from_restaurant_AND_Bagged_lettuce_mixes,FOG_from_restaurant_AND_Bagged_lettuce_mixes,FOG+FAV,0,0,0,0,0,0.514,0.1625,0.3235,0,0,0,0
771,FOG.10+FAV.34,FOG_from_restaurant_AND_Canned_peas,FOG_from_restaurant_AND_Canned_peas,FOG+FAV,0,0,0,0,0,0.517,0.1565,0.3265,0,0,0,0
772,FOG.10+FAV.35,FOG_from_restaurant_AND_Canned_fruit,FOG_from_restaurant_AND_Canned_fruit,FOG+FAV,0,0,0,0,0,0.5,0.003,0.497,0,0,0,0
773,FOG.10+CP.36,FOG_from_restaurant_AND_Breakfast_cereals,FOG_from_restaurant_AND_Breakfast_cereals,FOG+CP,0,0,0,0,0,0.51,0.0585,0.4315,0,0,0,0
774,FOG.10+CP.37,FOG_from_restaurant_AND_Corn_flakes,FOG_from_restaurant_AND_Corn_flakes,FOG+CP,0,0,0,0,0,0.5035,0.0559,0.4406,0,0,0,0
775,FOG.10+CP.38,FOG_from_restaurant_AND_Cheerios,FOG_from_restaurant_AND_Cheerios,FOG+CP,0,0,0,0,0,0.5023,0.0445,0.4532,0,0,0,0
776,FOG.10+CP.39,FOG_from_restaurant_AND_Cereal_bar,FOG_from_restaurant_AND_Cereal_bar,FOG+CP,0,0,0,0,0,0.5275,0.0391,0.4334,0,0,0,0
777,FOG.10+CP.40,FOG_from_restaurant_AND_Quick_oats,FOG_from_restaurant_AND_Quick_oats,FOG+CP,0,0,0,0,0,0.5335,0.0772,0.3893,0,0,0,0
778,FOG.10+CP.41,FOG_from_restaurant_AND_Oatmeal,FOG_from_restaurant_AND_Oatmeal,FOG+CP,0,0,0,0,0,0.535,0.0635,0.4015,0,0,0,0
779,FOG.10+BW.42,FOG_from_restaurant_AND_White_bread,FOG_from_restaurant_AND_White_bread,FOG+BW,0,0,0,0,0,0.5015,0.055,0.4435,0,0,0,0
780,FOG.10+BW.43,FOG_from_restaurant_AND_Sliced_bread,FOG_from_restaurant_AND_Sliced_bread,FOG+BW,0,0,0,0,0,0.50175,0.05415,0.4441,0,0,0,0
781,FOG.10+BW.44,FOG_from_restaurant_AND_Flour,FOG_from_restaurant_AND_Flour,FOG+BW,0,0,0,0,0,0.5045,0.083,0.4125,0,0,0,0
782,FOG.10+BW.45,FOG_from_restaurant_AND_Sandwich,FOG_from_restaurant_AND_Sandwich,FOG+BW,0,0,0,0,0,0.591,0.0365,0.3725,0,0,0,0
783,FOG.10+BW.46,FOG_from_restaurant_AND_Crackers,FOG_from_restaurant_AND_Crackers,FOG+BW,0,0,0,0,0,0.5495,0.097,0.3535,0,0,0,0
784,FOG.10+MP.47,FOG_from_restaurant_AND_Mixed_meat,FOG_from_restaurant_AND_Mixed_meat,FOG+MP,0,0,0,0,0,0.8156,0.11835,0.06605,0,0,0,0
785,FOG.10+MP.48,FOG_from_restaurant_AND_Beef_cooked,FOG_from_restaurant_AND_Beef_cooked,FOG+MP,0,0,0,0,0,0.7986,0.164,0.0374,0,0,0,0
786,FOG.10+MP.49,FOG_from_restaurant_AND_Pork_cooked,FOG_from_restaurant_AND_Pork_cooked,FOG+MP,0,0,0,0,0,0.77795,0.1436,0.08345,0,0,0,0
787,FOG.10+MP.50,FOG_from_restaurant_AND_Chicken_cooked,FOG_from_restaurant_AND_Chicken_cooked,FOG+MP,0,0,0,0,0,0.836,0.1125,0.0515,0,0,0,0
788,FOG.10+MP.51,FOG_from_restaurant_AND_Lamb_cooked,FOG_from_restaurant_AND_Lamb_cooked,FOG+MP,0,0,0,0,0,0.7719,0.1365,0.0916,0,0,0,0
789,FOG.10+MP.52,FOG_from_restaurant_AND_Ham_scraps,FOG_from_restaurant_AND_Ham_scraps,FOG+MP,0,0,0,0,0,0.79815,0.10985,0.092,0,0,0,0
790,FOG.10+MP.53,FOG_from_restaurant_AND_Sliced_meat,FOG_from_restaurant_AND_Sliced_meat,FOG+MP,0,0,0,0,0,0.7285,0.116,0.1555,0,0,0,0
791,FOG.10+MP.54,FOG_from_restaurant_AND_Offal,FOG_from_restaurant_AND_Offal,FOG+MP,0,0,0,0,0,0.7788,0.10985,0.11135,0,0,0,0
792,FOG.10+FP.55,FOG_from_restaurant_AND_canned_tuna_fish,FOG_from_restaurant_AND_canned_tuna_fish,FOG+FP,0,0,0,0,0,0.81025,0.13285,0.0569,0,0,0,0
793,FOG.10+FP.56,FOG_from_restaurant_AND_freeze_fish,FOG_from_restaurant_AND_freeze_fish,FOG+FP,0,0,0,0,0,0.8148,0.15465,0.0306,0,0,0,0
794,FOG.10+FP.57,FOG_from_restaurant_AND_fresh_fish,FOG_from_restaurant_AND_fresh_fish,FOG+FP,0,0,0,0,0,0.79435,0.19265,0.013,0,0,0,0
795,FOG.10+FP.58,FOG_from_restaurant_AND_fish_flesh_salmon,FOG_from_restaurant_AND_fish_flesh_salmon,FOG+FP,0,0,0,0,0,0.8059,0.12565,0.06845,0,0,0,0
796,FOG.10+FP.59,FOG_from_restaurant_AND_Fish_and_shellfish,FOG_from_restaurant_AND_Fish_and_shellfish,FOG+FP,0,0,0,0,0,0.9105,0.0838,0.0055,0,0,0,0
797,FOG.10+EP.60,FOG_from_restaurant_AND_Whole_egg,FOG_from_restaurant_AND_Whole_egg,FOG+EP,0,0,0,0,0,0.85875,0.09775,0.0435,0,0,0,0
798,FOG.10+EP.61,FOG_from_restaurant_AND_Cooked_eggs,FOG_from_restaurant_AND_Cooked_eggs,FOG+EP,0,0,0,0,0,0.8276,0.1329,0.0395,0,0,0,0
799,FOG.10+EP.62,FOG_from_restaurant_AND_Pickled_eggs,FOG_from_restaurant_AND_Pickled_eggs,FOG+EP,0,0,0,0,0,0.8826,0.0736,0.04225,0,0,0,0
800,FOG.10+EP.63,FOG_from_restaurant_AND_Raw_eggs,FOG_from_restaurant_AND_Raw_eggs,FOG+EP,0,0,0,0,0,0.8888,0.0777,0.0335,0,0,0,0
801,FOG.10+SSG.64,FOG_from_restaurant_AND_Sugar,FOG_from_restaurant_AND_Sugar,FOG+SSG,0,0,0,0,0,0.4995,0.0419,0.4586,0,0,0,0
802,FOG.10+SSG.65,FOG_from_restaurant_AND_Sweet_cream,FOG_from_restaurant_AND_Sweet_cream,FOG+SSG,0,0,0,0,0,0.7695,0.0255,0.205,0,0,0,0
803,FOG.10+SSG.66,FOG_from_restaurant_AND_Chocolate_pudding,FOG_from_restaurant_AND_Chocolate_pudding,FOG+SSG,0,0,0,0,0,0.5235,0.03375,0.44275,0,0,0,0
804,FOG.10+SSG.67,FOG_from_restaurant_AND_Cakes,FOG_from_restaurant_AND_Cakes,FOG+SSG,0,0,0,0,0,0.612,0.02995,0.35805,0,0,0,0
805,FOG.10+SSG.68,FOG_from_restaurant_AND_Jelly,FOG_from_restaurant_AND_Jelly,FOG+SSG,0,0,0,0,0,0.4995,0.0048,0.4957,0,0,0,0
806,FOG.10+SSG.69,FOG_from_restaurant_AND_Mousse,FOG_from_restaurant_AND_Mousse,FOG+SSG,0,0,0,0,0,0.5855,0.03645,0.37805,0,0,0,0
807,FOG.10+SSG.70,"FOG_from_restaurant_AND_Other_dessert_wafers,etc.","FOG_from_restaurant_AND_Other_dessert_wafers,etc.",FOG+SSG,0,0,0,0,0,0.5745,0.036,0.3895,0,0,0,0
808,FOG.10+SS.71,FOG_from_restaurant_AND_Condiments,FOG_from_restaurant_AND_Condiments,FOG+SS,0,0,0,0,0,0.5158,0.05885,0.42535,0,0,0,0
809,FOG.10+SS.72,FOG_from_restaurant_AND_Canned_soup,FOG_from_restaurant_AND_Canned_soup,FOG+SS,0,0,0,0,0,0.5019,0.0795,0.4186,0,0,0,0
810,FOG.10+SS.73,FOG_from_restaurant_AND_Soup,FOG_from_restaurant_AND_Soup,FOG+SS,0,0,0,0,0,0.501,0.03295,0.4675,0,0,0,0
811,FOG.10+BEV.74,FOG_from_restaurant_AND_Cola_beverage,FOG_from_restaurant_AND_Cola_beverage,FOG+BEV,0,0,0,0,0,0.5005,0.004,0.4955,0,0,0,0
812,FOG.10+BEV.75,FOG_from_restaurant_AND_Tea_beverage,FOG_from_restaurant_AND_Tea_beverage,FOG+BEV,0,0,0,0,0,0.4996,0.1155,0.3849,0,0,0,0
813,FOG.10+BEV.76,FOG_from_restaurant_AND_Fruit_juices_orange,FOG_from_restaurant_AND_Fruit_juices_orange,FOG+BEV,0,0,0,0,0,0.4995,0.10655,0.394,0,0,0,0
814,FOG.10+RERW.77,FOG_from_restaurant_AND_Food_from_conference,FOG_from_restaurant_AND_Food_from_conference,FOG+RERW,0,0,0,0,0,0.57055,0.0799,0.34955,0,0,0,0
815,FOG.10+RERW.78,FOG_from_restaurant_AND_Food_from_hotel,FOG_from_restaurant_AND_Food_from_hotel,FOG+RERW,0,0,0,0,0,0.7205,0.133,0.1465,0,0,0,0
